6666666.3764	unknown	51702	Mycophage EricB	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3766	unknown	68569	Mycophage Fang	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3768	unknown	67949	Mycophage Gadjet	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3769	unknown	51578	Mycophage George	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3770	unknown	155167	Mycophage Ghost	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3772	unknown	52213	Mycophage Gladiator	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3774	unknown	57387	Mycophage Gumbie	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3776	unknown	57155	Mycophage Hamulus	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3777	unknown	68193	Mycophage Harvey	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3778	unknown	67451	Mycophage Hedgerow	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3779	unknown	76049	Mycophage Henry	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3780	unknown	68675	Mycophage Hertubise	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3781	unknown	41901	Mycophage Hope	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3782	unknown	55600	Mycophage Ibhubesi	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3783	unknown	68839	Mycophage IsaacEli	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3784	unknown	47287	Mycophage Island3	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3785	unknown	68311	Mycophage JacAttac	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3787	unknown	52169	Mycophage JC27	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3789	unknown	50877	Mycophage JHC117	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3790	unknown	74914	Mycophage JoeDirt	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3791	unknown	68633	Mycophage Kamiyu	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3793	unknown	68839	Mycophage Kikipoo	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3794	unknown	68138	Mycophage KLucky39	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3797	unknown	51381	Mycophage KSSJEB	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3798	unknown	52379	Mycophage Kugel	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3800	unknown	62991	Mycophage Larva	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3802	unknown	50486	Mycophage Lesedi	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3803	unknown	51813	Mycophage LHTSCC	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3804	unknown	76260	Mycophage Lilac	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3805	unknown	153882	Mycophage LinStu	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3806	unknown	109086	Mycophage LittleE	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3808	unknown	65100	Mycophage Marvin	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3809	unknown	50864	Mycophage Microwolf	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3810	unknown	57278	Mycophage Mozy	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3811	unknown	50988	Mycophage MrGordo	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3812	unknown	51426	Mycophage Museum	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3813	unknown	156646	Mycophage Nappy	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3815	unknown	65108	Mycophage Nova	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3816	unknown	68720	Mycophage Oline	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3818	unknown	68735	Mycophage Oosterbaan	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3819	unknown	109270	Mycophage Optimus	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3821	unknown	69118	Mycophage OSmaximus	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3823	unknown	51339	Mycophage PackMan	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3827	unknown	68293	Mycophage Phipps	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3830	unknown	61147	Mycophage Pixie	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3837	unknown	75706	Mycophage Rakim	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3839	unknown	53332	Mycophage RedRock	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3840	unknown	83724	Mycophage Rey	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3841	unknown	47780	Mycophage Rockstar	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3842	unknown	56719	Mycophage RockyHorror	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3844	unknown	68432	Mycophage Scoot17C	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3845	unknown	155286	Mycophage Sebata	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3846	unknown	71547	Mycophage Send513	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3847	unknown	68804	Mycophage Serendipity	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3848	unknown	51369	Mycophage Shaka	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3849	unknown	75973	Mycophage SirDuracell	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3851	unknown	69641	Mycophage Stinger	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3852	unknown	68262	Mycophage Suffolk	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3853	unknown	52298	Mycophage Switzer	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3854	unknown	68133	Mycophage TallGrassMM	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3855	unknown	106327	Mycophage Thibault	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3857	unknown	75933	Mycophage Toto	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3861	unknown	73784	Mycophage UPIE	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3862	unknown	52481	Mycophage Violet	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3863	unknown	68494	Mycophage Vista	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3864	unknown	50963	Mycophage Vix	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3865	unknown	68346	Mycophage Vortex	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3869	unknown	68482	Mycophage Yahalom	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3870	unknown	68719	Mycophage Yoshand	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3871	unknown	58714	Mycophage Yoshi	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3872	unknown	71092	Mycophage Zemanar	Viruses.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3874	unknown	68016	Mycophage UncleHowie	Virus.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3878	unknown	53137	Mycophage SkiPole	Virus.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3879	unknown	64791	Mycophage SirHarley	Virus.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3880	unknown	59016	Mycophage SG4	Virus.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3883	unknown	74491	Mycophage pumpkin	Virus.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3885	unknown	156758	Mycophage Pio	Virus.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3888	unknown	154349	Mycophage LRRHood	Virus.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3890	unknown	51889	Mycophage Hammer	Virus.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3892	unknown	51436	Mycophage Eagle	Virus.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.3893	unknown	58899	Mycophage DLane	Virus.	unknown	Mycobacterium smegmatis	Mycobacterium
6666666.43247	unknown	34892	Pelagibacter phage HTVC010P	.	unknown	Candidatus Pelagibacter	Candidatus Pelagibacter
6666666.43249	unknown	42084	Pelagibacter phage HTVC019P	.	unknown	Candidatus Pelagibacter	Candidatus Pelagibacter
6666666.43251	unknown	39921	Pelagibacter phage HTVC011P	.	unknown	Candidatus Pelagibacter	Candidatus Pelagibacter
6666666.43252	unknown	38476	Cellulophaga phage phi18:2	.	unknown	Cellulophaga	Cellulophaga
6666666.43253	unknown	39151	Cellulophaga phage phi12:3	.	unknown	Cellulophaga	Cellulophaga
6666666.43255	unknown	6478	Cellulophaga phage phi18:4	.	unknown	Cellulophaga	Cellulophaga
6666666.43256	unknown	6478	Cellulophaga phage phi48:1	.	unknown	Cellulophaga	Cellulophaga
6666666.43257	unknown	54016	Cellulophaga phage phi47:1	.	unknown	Cellulophaga	Cellulophaga
6666666.43258	unknown	54012	Cellulophaga phage phi38:2	.	unknown	Cellulophaga	Cellulophaga
6666666.43259	unknown	72529	Cellulophaga phage phi40:1	.	unknown	Cellulophaga	Cellulophaga
6666666.43261	unknown	54427	Cellulophaga phage phi3:1	.	unknown	Cellulophaga	Cellulophaga
6666666.43262	unknown	147284	Pelagibacter phage HTVC008M	.	unknown	Candidatus Pelagibacter	Candidatus Pelagibacter
6666666.43265	unknown	54566	Cellulophaga phage phiSM	.	unknown	Cellulophaga	Cellulophaga
6666666.43267	unknown	76666	Cellulophaga phage phi13:1	.	unknown	Cellulophaga	Cellulophaga
6666666.43269	unknown	78275	Cellulophaga phage phi19:2	.	unknown	Cellulophaga	Cellulophaga
6666666.43275	unknown	54015	Cellulophaga phage phi3ST:2	.	unknown	Cellulophaga	Cellulophaga
6666666.43278	unknown	78269	Cellulophaga phage phiST	.	unknown	Cellulophaga	Cellulophaga
6666666.43464	unknown	162596	Bacillus-phage-B4	.	unknown	Bacillus	Bacillus
6666666.61440	unknown	163833	Esherichia coliphage T2	.	unknown	Escherichia coli	Escherichia
77048.1	unknown	26111	Methanobacterium phage psiM2.	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Methanobacterium	Methanobacterium
981430.3	unknown	88097	Pseudomonas phage P3_CHA, complete genome.	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;unclassified Myoviridae.	unknown	Pseudomonas	Pseudomonas
981431.3	unknown	88097	Pseudomonas phage PAK_P3, complete genome.	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;unclassified Myoviridae.	unknown	Pseudomonas	Pseudomonas
AB091475	AB091475.1	3254	Bacillus phage phiNIT1	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	unknown	Bacillus subtilis	Bacillus
AB362338	AB362338.2	41660	Enterobacteria phage P22	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	unknown	Salmonella enterica subsp. enterica serovar	Salmonella
AB426868	AB426868.1	41660	Enterobacteria phage P22	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	unknown	Salmonella enterica subsp. enterica serovar	Salmonella
AB572858	AB572858.1	6856	Vibrio phage ND1-fs1	Viruses; ssDNA viruses; Inoviridae; unclassified Inoviridae.	unknown	Vibrio cholerae O139 strain ND1	Vibrio
AB609718	AB609718.1	142072	Enterococcus phage phiEF24C-P2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; unassigned Spounavirinae.	unknown	Enterococcus faecalis	Enterococcus
AB626963	AB626963.1	18186	Staphylococcus phage S13'	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; unclassified Picovirinae.	unknown	Staphylococcus aureus strain SA27	Staphylococcus
AB716666	AB716666.1	43871	Klebsiella phage NTUH-K2044-K1-1	Viruses; unclassified phages.	unknown	Klebsiella	Klebsiella
AB746912	AB746912.1	37159	Nitratiruptor phage NrS-1	Viruses; unclassified phages.	unknown	Nitratiruptor sp. SB155-2	Nitratiruptor
AB757801	AB757801.1	41684	Edwardsiella phage IW-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	unknown	Edwardsiella	Edwardsiella
AB910392	AB910392.1	62774	Pseudomonas phage KPP23	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Pseudomonas aeruginosa	Pseudomonas
AB910602	AB910602.1	7325	Xanthomonas phage XacF1	Viruses; unclassified phages.	unknown	Xanthomonas axonopodis pv. citri	Xanthomonas
AB920995	AB920995.1	44360	Ralstonia phage RSJ2	Viruses; unclassified phages.	unknown	Ralstonia solanacearum	Ralstonia
AB971354	AB971354.1	4217	Enterobacteria phage Qbeta	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Allolevivirus.	unknown	Escherichia coli	Escherichia
AB981169	AB981169.1	40002	Ralstonia phage RSY1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	unknown	Ralstonia solanacearum	Ralstonia
AB981170	AB981170.1	8956	Ralstonia phage RSMSuper	Viruses; unclassified phages.	unknown	Ralstonia solanacearum	Ralstonia
AF319619	AF319619.1	6173	Mycobacterium phage Ms6	Viruses; unclassified phages.	unknown	Mycobacterium smegmatis	Mycobacterium
AF416590	AF416590.1	5728	Vibrio phage CTX	Viruses; ssDNA viruses; Inoviridae; Inovirus.	unknown	Vibrio cholerae JS9803	Vibrio
AF432870	AF432870.1	1165	Lactococcus phage F7/2	Viruses; unclassified phages.	unknown	Lactococcus lactis F7/2	Lactococcus
AF452449	AF452449.2	6834	Vibrio phage VSKK	Viruses; ssDNA viruses; Inoviridae; Inovirus.	unknown	Vibrio cholerae O139 strain BO4	Vibrio
AF527608	AF527608.1	41724	Salmonella phage P22-pbi	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	unknown	Salmonella enterica serovar typhimurium	Salmonella
AJ245616	AJ245616.1	40003	Lactococcus phage BK5-T	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Lactococcus	Lactococcus
AJ536073	AJ536073.2	14931	Bacillus phage pGIL01	Viruses; dsDNA viruses, no RNA stage; Tectiviridae; Tectivirus.	unknown	Bacillus thuringiensis serovar israelensis	Bacillus
AJ969242	AJ969242.1	7878	Spiroplasma phage SVGII3	Viruses; ssDNA viruses; Inoviridae; Plectrovirus; unclassifiedPlectrovirus.	unknown	Spiroplasma	Spiroplasma
AP011113	AP011113.1	167435	Enterobacteria phage AR1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	unknown	Escherichia coli O157:H7	Escherichia
AP011616	AP011616.1	152372	Thermus phage phiYS40	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Thermus thermophilus HB8	Thermus
AP011956	AP011956.1	42481	Staphylococcus phage phi7247PVL	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	unknown	Staphylococcus	Staphylococcus
AY176327	AY176327.1	127395	Staphylococcus phage K	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Twortlikevirus.	unknown	Staphylococcus	Staphylococcus
AY583234	AY583234.1	15757	Mycoplasma phage phiMFV1	Viruses; unclassified phages.	unknown	Mycoplasma	Mycoplasma
AY583235	AY583235.1	23300	Mycoplasma phage phiMFV1	Viruses; unclassified phages.	unknown	Mycoplasma	Mycoplasma
CP000711	CP000711.1	40207	Enterobacteria phage CUS-3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	unknown	Escherichia coli RS218	Escherichia
D90210	D90210.1	4592	Clostridium phage c-st	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	unknown	Clostridium	Clostridium
DQ004855	DQ004855.1	131384	Listeria phage P100	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Twortlikevirus.	unknown	Listeria monocytogenes	Listeria
DQ079870	DQ079870.1	6068	Enterobacteria phage ID21	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079871	DQ079871.1	6071	Enterobacteria phage ID32	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079872	DQ079872.1	6039	Enterobacteria phage NC35	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079874	DQ079874.1	6068	Enterobacteria phage WA45	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079875	DQ079875.1	6065	Enterobacteria phage NC28	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079876	DQ079876.1	6051	Enterobacteria phage ID62	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079877	DQ079877.1	5538	Enterobacteria phage ID52	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079878	DQ079878.1	6097	Enterobacteria phage NC3	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079879	DQ079879.1	6259	Enterobacteria phage NC29	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079880	DQ079880.1	5386	Enterobacteria phage ID1	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079881	DQ079881.1	5386	Enterobacteria phage ID22	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079882	DQ079882.1	5386	Enterobacteria phage ID34	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079883	DQ079883.1	5386	Enterobacteria phage ID45	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079884	DQ079884.1	5386	Enterobacteria phage NC1	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079885	DQ079885.1	5386	Enterobacteria phage NC5	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079886	DQ079886.1	5386	Enterobacteria phage NC7	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079887	DQ079887.1	5386	Enterobacteria phage NC11	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079888	DQ079888.1	5386	Enterobacteria phage NC16	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079889	DQ079889.1	5386	Enterobacteria phage NC37	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079890	DQ079890.1	5386	Enterobacteria phage NC41	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079891	DQ079891.1	5386	Enterobacteria phage NC51	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079892	DQ079892.1	5386	Enterobacteria phage NC56	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079893	DQ079893.1	5386	Enterobacteria phage WA4	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079894	DQ079894.1	5386	Enterobacteria phage WA10	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079895	DQ079895.1	5387	Enterobacteria phage WA11	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079896	DQ079896.1	5540	Enterobacteria phage WA2	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079897	DQ079897.1	5540	Enterobacteria phage WA3	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079898	DQ079898.1	5540	Enterobacteria phage ID8	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079899	DQ079899.1	5577	Enterobacteria phage WA5	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079900	DQ079900.1	5577	Enterobacteria phage NC2	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079901	DQ079901.1	5577	Enterobacteria phage NC13	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079902	DQ079902.1	5577	Enterobacteria phage NC19	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
DQ079903	DQ079903.1	5577	Enterobacteria phage ID41	Viruses; ssDNA viruses; Microviridae; Microvirus.	unknown	Enterobacteria	Escherichia
