Accession Number	Phage Name	Phage Family	Bacterial Host Genus	Bacterial Host Species	Phage2014_train	Phage2014_eval Reference Sequence
JX871397	Enterobacteria phage phi80	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	no	yes	JX871397
KC618326	Enterobacteria phage P2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	Escherichia	Escherichia coli	no	yes	KC618326
KC661272	Mycobacterium phage Methuselah	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3789
NC_000866	Enterobacteria phage T4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Escherichia	Escherichia coli	no	yes	HM137666
NC_001330	Enterobacteria phage alpha3	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	no	yes	NC_001330
NC_002194	Chlamydia phage 2	Viruses; ssDNA viruses; Microviridae; Gokushovirinae;Chlamydiamicrovirus.	Chlamydia	Chlamydia psittaci	no	yes	NC_002194
NC_003291	Listeria phage 2389	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Listeria	Listeria monocytogenes	no	yes	NC_003291
NC_003298	Enterobacteria phage T3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Escherichia	Escherichia coli	no	yes	JX421753
NC_007024	Xanthomonas phage Xp15	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Xanthomonas	Xanthomonas campestris	no	yes	NC_007024
NC_007808	Pseudomonas phage PA11	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Pseudomonas	Pseudomonas aeruginosa	no	yes	NC_007808
NC_007810	Pseudomonas phage F8	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Pseudomonas	Pseudomonas aeruginosa	no	yes	NC_007810
NC_009875	Staphylococcus phage SAP-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; Ahjdlikevirus; unclassified AHJD-like viruses.	Staphylococcus	Staphylococcus aureus	no	yes	NC_009875
NC_009936	Pseudomonas phage LKA1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae.	Pseudomonas	Pseudomonas aeruginosa	no	yes	NC_009936
NC_011104	Lactobacillus phage Lrm1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus rhamnosus	no	yes	NC_011104
NC_011271	Mycobacterium phage Cali	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;I3likevirus; unclassified I3-like viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
NC_011272	Mycobacterium phage Rizal	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;I3likevirus; unclassified I3-like viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
NC_011756	Pseudomonas phage SN	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Pseudomonas	Pseudomonas aeruginosa	no	yes	NC_011756
NC_013644	Enterococcus phage phiFL4A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Enterococcus	Enterococcus faecalis	no	yes	NC_013644
NC_013936	Mycobacterium phage Ardmore	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Mycobacterium	Mycobacterium smegmatis	no	yes	NC_013936
NC_015250	Acinetobacter phage 133	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Acinetobacter	Acinetobacter johnsonii	no	yes	NC_015250
NC_015568	Clostridium phage phiCD38-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Clostridium	Clostridium difficile	no	yes	NC_015568
NC_018852	Propionibacterium phage P100D	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Propionibacterium	Propionibacterium acnes	no	yes	NC_018852
NC_020835	Prochlorococcus phage P-SSP10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Prochlorococcus	Prochlorococcus marinus	no	yes	NC_020835
NC_020867	Synechococcus phage S-RIP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Synechococcus	Synechococcus	no	yes	NC_020867
NC_021073	Vibrio phage henriette 12B8	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Vibrio	Vibrio splendidus	no	yes	NC_021073
AB572858	Vibrio phage ND1-fs1	Viruses; ssDNA viruses; Inoviridae; unclassified Inoviridae.	Vibrio	Vibrio cholerae	yes	no	AB572858
AF416590	Vibrio phage CTX	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Vibrio	Vibrio cholerae	yes	no	AF416590
AJ536073	Bacillus phage pGIL01	Viruses; dsDNA viruses, no RNA stage; Tectiviridae; Tectivirus.	Bacillus	Bacillus thuringiensis	yes	no	AJ536073
CP000711	Enterobacteria phage CUS-3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	Escherichia	Escherichia coli	yes	no	CP000711
DQ394808	Lactococcus phage ul36.t1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	DQ394807
DQ394810	Lactococcus phage phismq86	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus	yes	no	DQ394810
EF380016	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
EF380020	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
EF380024	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
EF380029	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
EU078592	Enterobacteria phage DE3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus.	Escherichia	Escherichia coli	yes	no	EU078592
FJ483844	Enterobacteria phage Qbeta	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Allolevivirus.	Escherichia	Escherichia coli	yes	no	FJ483844
GQ303259	Mycobacterium phage Colbert	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
GQ303261	Mycobacterium phage Hope	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3781
GU196279	Escherichia phage K1-ind(1)	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Escherichia	Escherichia coli	yes	no	GU196279
HM753658	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
HM753684	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
HM753685	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
HM753688	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Salmonella	Salmonella	yes	no	EF380010
HM753701	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Salmonella	Salmonella	yes	no	EF380010
HM753704	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
HM753705	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Salmonella	Salmonella	yes	no	EF380010
HM753706	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Salmonella	Salmonella	yes	no	EF380010
HM753715	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Salmonella	Salmonella	yes	no	EF380010
HM753716	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Salmonella	Salmonella	yes	no	EF380010
JF704097	Mycobacterium phage Gladiator	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3713
JF704102	Mycobacterium phage Phipps	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JF704108	Mycobacterium phage JoeDirt	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3790
JF719726	Enterobacteria phage phiX174	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	EF380010
JF937090	Mycobacterium phage Baka	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3741
JF937091	Mycobacterium phage Bask21	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3849
JF937109	Mycobacterium phage Yoshand	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JF937110	Mycobacterium phage KSSJEB	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3797
JF957056	Mycobacterium phage Thora	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JF957058	Mycobacterium phage HelDan	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JF957058
JF974289	Synechococcus phage S-RIM8 A.HR3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Synechococcus	Synechococcus	yes	no	HQ317385
JN006063	Mycobacterium phage Serendipity	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
JN020142	Mycobacterium phage Mutaforma13	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JN020142
JN391441	Mycobacterium phage Elph10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3763
JN572061	Mycobacterium phage Jebeks	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JN572061
JN618996	Mycobacterium phage Arbiter	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	1076630.3
JN698991	Mycobacterium phage Hedgerow	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	1076630.3
JN699019	Mycobacterium phage Jeffabunny	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JN699019
JX000007	Yersinia phage R	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Yersinia	Yersinia pestis	yes	no	JQ957925
JX306041	Stenotrophomonas phage IME13	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Stenotrophomonas	Stenotrophomonas maltophilia	yes	no	JX306041
JX412914	Enterobacteria phage M13	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Escherichia	Escherichia coli	yes	no	JF719732
JX483876	Rhizobium phage RHEph04	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Rhizobium	Rhizobium etli	yes	no	JX483876
JX649100	Mycobacterium phage Alex	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
KC206276	Escherichia phage EC1-UPM	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	Escherichia	Escherichia coli	yes	no	KC206276
KC348600	Streptococcus phage phi5218	Viruses; unclassified phages.	Streptococcus	Streptococcus suis	yes	no	KC348600
KC576784	Mycobacterium phage ShiVal	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3724
NC_000929	Enterobacteria phage Mu	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Mulikevirus.	Escherichia	Escherichia coli	yes	no	NC_000929
NC_001271	Yersinia phage phiYeO3-12	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Yersinia	Yersinia enterocolitica	yes	no	NC_001271
NC_001335	Mycobacterium phage L5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;L5likevirus.	Mycobacterium	Mycobacterium smegmatis	yes	no	NC_001335
NC_001628	Pseudomonas phage PP7	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Levivirus.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_001628
NC_001884	Bacillus phage SPbeta	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Spbetalikevirus.	Bacillus	Bacillus subtilis	yes	no	NC_001884
NC_002014	Enterobacteria phage Ike	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Escherichia	Escherichia coli	yes	no	NC_002014
NC_002166	Enterobacteria phage HK022	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus.	Escherichia	Escherichia coli	yes	no	NC_002166
NC_002643	Bdellovibrio phage phiMH2K	Viruses; ssDNA viruses; Microviridae; Gokushovirinae;Bdellomicrovirus.	Bdellovibrio	Bdellovibrio bacteriovorus	yes	no	NC_002643
NC_003356	Enterobacteria phage phiP27	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Escherichia	Escherichia coli	yes	no	NC_003356
NC_004303	Streptococcus phage O1205	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus thermophilus	yes	no	NC_004303
NC_004306	Vibrio phage fs1	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Vibrio	Vibrio cholerae	yes	no	NC_004306
NC_004313	Salmonella phage ST64B	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Salmonella	Salmonella enterica	yes	no	NC_004313
NC_004678	Staphylococcus phage 44AHJD	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; Ahjdlikevirus.	Staphylococcus	Staphylococcus aureus	yes	no	NC_004678
NC_004746	Lactococcus phage P335 sensu lato	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	NC_004746
NC_004813	Enterobacteria phage BP-4795	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_004813
NC_004914	Stx2 converting phage II	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	KJ909655
NC_005045	Pseudomonas phage phiKMV	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	KC969441
NC_005066	Enterobacteria phage RB49	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Escherichia	Escherichia coli	yes	no	NC_005066
NC_005083	Vibrio phage KVP40	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; Schizot4likevirus.	Vibrio	Vibrio parahaemolyticus	yes	no	JN849462
NC_005091	Burkholderia phage BcepNazgul	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Burkholderia	Burkholderia cepacia	yes	no	NC_005091
NC_005808	Bordetella phage BMP-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;unclassified Bpp-1-like viruses.	Bordetella	Bordetella bronchiseptica	yes	no	NC_005357
NC_005822	Lactococcus phage phiLC3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	NC_005822
NC_005833	Enterobacteria phage T1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Tunalikevirus.	Escherichia	Escherichia coli	yes	no	NC_005833
NC_005882	Burkholderia phage BcepMu	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Burkholderia	Burkholderia cenocepacia	yes	no	NC_005882
NC_006565	Lactobacillus phage LP65	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; unassigned Spounavirinae.	Lactobacillus	Lactobacillus plantarum	yes	no	NC_006565
NC_006883	Prochlorococcus phage P-SSM2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Prochlorococcus	Prochlorococcus	yes	no	GU071092
NC_007022	Aeromonas phage 31	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Aeromonas	Aeromonas salmonicida	yes	no	NC_005135
NC_007046	Staphylococcus phage 66	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; Ahjdlikevirus; unclassified AHJD-like viruses.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007046
NC_007049	Staphylococcus phage 53	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007049
NC_007054	Staphylococcus phage 47	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	JX174275
NC_007055	Staphylococcus phage 37	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007055
NC_007058	Staphylococcus phage ROSA	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007058
NC_007063	Staphylococcus phage 88	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007063
NC_007458	Bacillus phage Gamma	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus cereus	yes	no	DQ222855
NC_008194	Mycobacterium phage 244	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	6666666.3763
NC_008203	Mycobacterium phage Che12	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	NC_008203
NC_008204	Mycobacterium phage Qyrzula	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	1076630.3
NC_008205	Mycobacterium phage PMC	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	NC_008196
NC_008370	Lactococcus phage 712	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	NC_008370
NC_008574	Ralstonia phage RSM1	Viruses; ssDNA viruses; Inoviridae; Inovirus; unclassified Inovirus.	Ralstonia	Ralstonia	yes	no	AB981170
NC_009234	Burkholderia phage phiE202	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	Burkholderia	Burkholderia thailandensis	yes	no	NC_009234
NC_009235	Burkholderia phage phi644-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Burkholderia	Burkholderia pseudomallei	yes	no	NC_009235
NC_009543	Xanthomonas phage Xop411	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Xanthomonas	Xanthomonas oryzae	yes	no	NC_009543
NC_009804	Thermus phage P74-26	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Thermus	Thermus thermophilus	yes	no	NC_009804
NC_009820	Mycobacterium phage Tweety	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	NC_009820
NC_010237	Enterobacteria phage Min27	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Escherichia	Escherichia coli	yes	no	HM208303
NC_010275	Vibrio phage kappa	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; Hpunalikevirus.	Vibrio	Vibrio cholerae	yes	no	NC_003313
NC_010391	Salmonella phage Fels-1	Viruses; unclassified phages.	Salmonella	Salmonella enterica	yes	no	NC_010391
NC_010495	Salmonella phage Vi II-E1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Salmonella	Salmonella enterica	yes	no	NC_010495
NC_011039	Mycobacterium phage Predator	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	NC_011039
NC_011044	Mycobacterium phage Nigel	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	NC_011044
NC_011046	Lactococcus phage bIBB29	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	NC_011046
NC_011107	Pseudomonas phage PT2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unclassified phiKMV-like phages.	Pseudomonas	Pseudomonas aeruginosa	yes	no	KC969441
NC_011523	Bacillus phage AP50	Viruses; dsDNA viruses, no RNA stage; Tectiviridae; Tectivirus.	Bacillus	Bacillus anthracis	yes	no	NC_011523
NC_012418	Pseudomonas phage phikF77	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unclassified phiKMV-like phages.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_012418
NC_012663	Lactococcus phage P087	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	NC_012663
NC_012740	Enterobacteria phage JSE	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Escherichia	Escherichia coli	yes	no	NC_012740
NC_012784	Staphylococcus phage phiPVL-CN125	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Staphylococcus	Staphylococcus aureus	yes	no	NC_012784
NC_012884	Streptococcus phage M102	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus	yes	no	NC_012884
NC_013600	Sodalis phage SO-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Sodalis	Sodalis glossinidius	yes	no	NC_013600
NC_014459	Mycobacterium phage CrimD	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	NC_014459
NC_014901	Mycobacterium phage Wee	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JX121091
NC_015253	Brochothrix phage A9	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; unclassified Spounavirinae.	Brochothrix	Brochothrix thermosphacta	yes	no	NC_015253
NC_015264	Pseudomonas phage phiIBB-PF7A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Pseudomonas	Pseudomonas fluorescens	yes	no	NC_015264
NC_015270	Enterococcus phage EFRM31	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Enterococcus	Enterococcus faecalis	yes	no	NC_015270
NC_015289	Synechococcus phage S-SSM5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Synechococcus	Synechococcus	yes	no	NC_015289
NC_015294	Pseudomonas phage PAK_P1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_015294
NC_016165	Rhodobacter phage RcapMu	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Rhodobacter	Rhodobacter capsulatus	yes	no	NC_016165
NC_016434	Gordonia phage GTE5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Gordonia	Gordonia terrae	yes	no	NC_016434
